temperature,humidity,moisture,nitrogen,potassium,phosphorus,label
21.4,54.4,39.8,39.3,17.5,45.4,Diseased
23.2,84.5,37.7,54.8,57.9,12.9,Healthy
25.4,74.5,51,26.5,19.3,35.3,Diseased
22.7,64.9,31.9,15,30.1,22.6,Diseased
39,88,39.7,53.7,35.4,21.8,Healthy
22.7,50.4,35.5,10.6,44.8,33.4,Diseased
28.1,57.4,69,88.7,68.3,31.3,Diseased
38.5,88.1,21.2,91.1,11.2,29.3,Diseased
38.7,70.9,65.8,22.1,22.3,17.9,Diseased
25.1,89.2,34.2,97.1,44.7,21.2,Healthy
30.1,49.9,38.9,19.2,37.9,32,Diseased
23.4,80.2,48.7,38.2,42.6,16,Healthy
39.9,75.9,58.3,44.5,67.1,27.1,Healthy
28.7,55.9,55.9,55.7,18.5,40,Diseased
39.3,62.6,61.5,28.2,76.9,22.6,Diseased
29.3,55.8,63.5,67.2,75.8,28,Diseased
27.5,41.8,68.2,15.1,14.4,15.4,Diseased
38.6,89.4,60.6,94.6,45,39.6,Diseased
26,63.1,49.8,99.3,15.5,6.7,Diseased
37.6,48,52.4,39.5,22.1,46.7,Healthy
25.9,69.7,42.8,18.5,54.6,12.9,Diseased
24.5,54,23.6,70.3,73.4,33.4,Diseased
37.7,78.6,32,99.7,30,26.7,Healthy
39.6,62.9,63.7,11.9,48.9,10.9,Diseased
40,44.2,54.6,98.3,20.1,12.9,Healthy
36.9,47.5,35.6,35.3,29.8,11,Healthy
27.4,45,47.4,30.8,13.6,28.9,Diseased
21.8,67.8,69,69.6,40,42.1,Diseased
27.3,42.2,29.5,90.8,28.9,46.2,Diseased
37.7,54.4,63.3,61.8,33.6,13.3,Diseased
22.6,73,52.4,60.1,50.4,13.4,Healthy
22.2,55,57.3,45.2,16.6,41.9,Diseased
24.8,55.7,46.1,34.1,63.3,33.6,Healthy
22.3,89.8,23.2,39.9,57.3,49.9,Diseased
32.8,60.1,41.2,80.8,47.1,38.3,Healthy
25.6,68,51,20.4,78.6,44.8,Diseased
25.7,76.1,54.2,38.7,52.1,6,Diseased
21.6,49.7,40.9,60,15.9,47.4,Diseased
33.2,60.6,51.3,78.4,73.5,32.3,Healthy
39.4,60.6,43.6,21.8,57.3,27.1,Diseased
38.3,53.9,63.6,72.3,24.9,16.3,Diseased
31.8,58.8,34.4,83.6,39,13.2,Healthy
